Provinsi,Rata-rata Pendapatan Bersih Sebulan Pekerja Informal berdasarkan Pendidikan Tertinggi -Tidak pernah sekolah/Belum tamat SD (Rp),Rata-rata Pendapatan Bersih Sebulan Pekerja Informal berdasarkan Pendidikan Tertinggi - Sekolah Dasar (Rp),Rata-rata Pendapatan Bersih Sebulan Pekerja Informal berdasarkan Pendidikan Tertinggi - Sekolah Menengah Pertama (Rp),Rata-rata Pendapatan Bersih Sebulan Pekerja Informal berdasarkan Pendidikan Tertinggi - SMA ke atas (Rp),Rata-rata Pendapatan Bersih Sebulan Pekerja Informal berdasarkan Pendidikan Tertinggi - Jumlah (Rp)
Aceh,1208979,1496938,1597807,1869675,1620891
Sumatera Utara,1228562,1494320,1683754,1988841,1689967
Sumatera Barat,1290397,1446218,1622328,2114210,1659339
Riau,1455929,1748971,1993747,2363260,1950875
Jambi,1424772,1719979,1912197,2169899,1841273
Sumatera Selatan,1251397,1557166,1738840,2039585,1675166
Bengkulu,1109903,1431889,1618780,1950177,1579182
Lampung,1154539,1394268,1470533,1861200,1483937
Kepulauan Bangka Belitung,1590914,2048304,2174204,2446022,2040190
Kepulauan Riau,1753724,2267748,2599381,3209012,2665689
DKI Jakarta,2330539,3142838,3267604,3947992,3515184
Jawa Barat,1420993,1609148,1967383,2667639,1883913
Jawa Tengah,1139637,1453835,1559317,2066838,1528058
DI Yogyakarta,936416,1271000,1428051,1916439,1522771
Jawa Timur,1152537,1548060,1714049,2238611,1644642
Banten,1561931,1883809,2541269,3590647,2421145
Bali,1195170,1765253,2299028,3055438,2151630
Nusa Tenggara Barat,1123315,1361345,1390682,1765483,1379214
Nusa Tenggara Timur,907236,1010807,1291157,1616131,1150810
Kalimantan Barat,1185312,1621706,1671728,2186789,1630308
Kalimantan Tengah,1573626,1939033,2384910,2373482,2075019
Kalimantan Selatan,1369718,1783149,1864637,2496051,1863874
Kalimantan Timur,2049642,2409672,2466384,3480289,2747287
Kalimantan Utara,2084956,2150819,2508365,3104535,2488613
Sulawesi Utara,1714749,1983094,2233391,2799091,2259865
Sulawesi Tengah,1288046,1437132,1742661,2039966,1628856
Sulawesi Selatan,1493482,1741364,1818900,2430135,1897155
Sulawesi Tenggara,1261814,1614741,1653030,2008149,1674995
Gorontalo,1371446,1534726,1562182,1845531,1538417
Sulawesi Barat,1068528,1341421,1384547,1430245,1282126
Maluku,1281440,1420054,1762070,1916792,1681024
Maluku Utara,1486584,1477877,1828165,2168086,1791261
Papua Barat,2141418,2136804,2705609,2786839,2523085
Papua,2005916,2473093,2765960,3212874,2621159
Indonesia,1295480,1611431,1858574,2436032,1816386
,,,,,
Catatan,,,,,
"<sup>1  </sup>Pekerja Informal/<i>Informal Employee</i>: Pekerja yang berstatus berusaha sendiri dan pekerja bebas di sektor pertanian dan nonpertanian/<i>Employment status are self employed, casual agricultural worker, and casual non-agricultural worker</i>",,,,,
