Provinsi,Rata-rata Pendapatan Bersih Sebulan Pekerja Informal berdasarkan Pendidikan Tertinggi -Tidak pernah sekolah/Belum tamat SD (Rp),Rata-rata Pendapatan Bersih Sebulan Pekerja Informal berdasarkan Pendidikan Tertinggi - Sekolah Dasar (Rp),Rata-rata Pendapatan Bersih Sebulan Pekerja Informal berdasarkan Pendidikan Tertinggi - Sekolah Menengah Pertama (Rp),Rata-rata Pendapatan Bersih Sebulan Pekerja Informal berdasarkan Pendidikan Tertinggi - SMA ke atas (Rp),Rata-rata Pendapatan Bersih Sebulan Pekerja Informal berdasarkan Pendidikan Tertinggi - Jumlah (Rp)
Aceh,1123221,1322047,1462741,1552642,1431210
Sumatera Utara,1030563,1331240,1487900,1642817,1467636
Sumatera Barat,1137557,1360490,1452835,1625396,1426856
Riau,1355169,1630160,1756173,1967467,1729264
Jambi,1337370,1582177,1723414,1920821,1675825
Sumatera Selatan,1120142,1362037,1419853,1522104,1385134
Bengkulu,969541,1283283,1350033,1655572,1361004
Lampung,1040222,1287659,1377393,1445488,1319231
Kepulauan Bangka Belitung,1694657,2022009,1880666,2126541,1942529
Kepulauan Riau,1376672,1565897,2001018,2475596,2045715
DKI Jakarta,1960417,2037382,2229094,2697025,2414890
Jawa Barat,1170221,1364989,1561877,1922616,1516498
Jawa Tengah,948895,1244374,1372837,1515526,1277319
DI Yogyakarta,788811,1030759,1282346,1385639,1219417
Jawa Timur,958947,1276443,1389269,1652217,1327048
Banten,1374204,1666458,2005933,2605212,1973783
Bali,908387,1219239,1294008,1576922,1316454
Nusa Tenggara Barat,897967,1113946,1174838,1170933,1081240
Nusa Tenggara Timur,701509,767976,859586,1168337,861203
Kalimantan Barat,1106186,1456841,1647859,1821496,1483866
Kalimantan Tengah,1387063,1736734,1996964,2135501,1842289
Kalimantan Selatan,1065725,1430894,1567907,1673091,1439710
Kalimantan Timur,1599760,1896453,1947875,2252725,1988852
Kalimantan Utara,1564760,1780226,1937648,2003422,1857159
Sulawesi Utara,1370359,1559403,1767188,2012846,1737040
Sulawesi Tengah,957256,1096221,1587115,1492410,1296970
Sulawesi Selatan,1133245,1460160,1502223,1829946,1515607
Sulawesi Tenggara,1029601,1202457,1411091,1480791,1303899
Gorontalo,1214452,1314691,1273891,1409408,1301602
Sulawesi Barat,981638,1301632,1166821,1182502,1165974
Maluku,1175528,1158390,1241110,1349023,1264030
Maluku Utara,1233719,1299656,1512207,1980681,1566006
Papua Barat,1534949,1950329,2561947,2119422,2095964
Papua,1689956,1937075,2339045,2995227,2248526
Indonesia,1091308,1361441,1530448,1799774,1478608
,,,,,
Catatan,,,,,
"1 Pekerja Informal/ Informal Employee : Pekerja yang berstatus berusaha sendiri dan pekerja bebas di sektor pertanian dan nonpertanian/ Employment status are self employed, casual agricultural worker, and casual non-agricultural worker",,,,,
* ) &#x3D; data dapat digunakan dengan berhati-hati,,,,,
