Provinsi,Rata-rata Pendapatan Bersih Sebulan Pekerja Informal berdasarkan Pendidikan Tertinggi -Tidak pernah sekolah/Belum tamat SD (Rp),Rata-rata Pendapatan Bersih Sebulan Pekerja Informal berdasarkan Pendidikan Tertinggi - Sekolah Dasar (Rp),Rata-rata Pendapatan Bersih Sebulan Pekerja Informal berdasarkan Pendidikan Tertinggi - Sekolah Menengah Pertama (Rp),Rata-rata Pendapatan Bersih Sebulan Pekerja Informal berdasarkan Pendidikan Tertinggi - SMA ke atas (Rp),Rata-rata Pendapatan Bersih Sebulan Pekerja Informal berdasarkan Pendidikan Tertinggi - Jumlah (Rp)
Aceh,1239916,1569478,1710872,1838793,1670472
Sumatera Utara,1229114,1602619,1816160,2041973,1800964
Sumatera Barat,1308422,1552996,1700890,1879159,1656843
Riau,1523187,2079462,2087019,2360850,2094333
Jambi,1539226,2006211,2234709,2434782,2116823
Sumatera Selatan,1507823,1727636,1952389,2185798,1879107
Bengkulu,1231814,1516025,1738979,1961189,1644239
Lampung,1247906,1464826,1662380,1935082,1609657
Kepulauan Bangka Belitung,2049393,2339006,2445046,2621190,2362600
Kepulauan Riau,1836108,2186602,2227818,2662476,2355801
DKI Jakarta,2137949,3324995,3742251,4780262,4201899
Jawa Barat,1626409,1678323,2067682,2475417,1951688
Jawa Tengah,1058671,1445882,1586342,1859483,1489425
DI Yogyakarta,855465,1068863,1491635,1829989,1469717
Jawa Timur,1108879,1464196,1689360,2372591,1664599
Banten,1576604,1849793,2136844,3439495,2317192
Bali,1159515,1720928,1953385,2524179,1967384
Nusa Tenggara Barat,995339,1280925,1368373,1604109,1278749
Nusa Tenggara Timur,911806,930917,1028228,1303797,1035532
Kalimantan Barat,1408385,1722235,1939513,2214913,1805701
Kalimantan Tengah,1802145,2231366,2419122,2752342,2325737
Kalimantan Selatan,1398420,1643932,2066559,2220106,1809325
Kalimantan Timur,2098701,2394834,2675412,2951105,2615014
Kalimantan Utara,1697770,2225161,2371710,2241394,2112353
Sulawesi Utara,1512663,1930715,2117137,2571334,2134563
Sulawesi Tengah,1174999,1429128,1738070,2005047,1610005
Sulawesi Selatan,1471718,1812930,2021647,2377729,1961626
Sulawesi Tenggara,1285653,1833431,1753592,2158571,1813431
Gorontalo,1531252,1609638,1518497,1792624,1608048
Sulawesi Barat,1053402,1268292,1331379,1355992,1238649
Maluku,1120214,1285410,1415189,1684749,1471298
Maluku Utara,1307518,1681326,2070945,2025351,1806232
Papua Barat,1591657,1956515,2183713,2365663,2104890
Papua,1749358,1968856,2337324,2894670,2221291
Indonesia,1313419,1634658,1897144,2422236,1862958
,,,,,
Catatan,,,,,
<sup>,,,,,
"1</sup> Pekerja Informal/ Informal Employee : Pekerja yang berstatus berusaha sendiri dan pekerja bebas di sektor pertanian dan nonpertanian/ Employment status are self employed, casual agricultural worker, and casual non-agricultural worker ",,,,,
