Provinsi,Rata-rata Pendapatan Bersih Sebulan Pekerja Informal berdasarkan Pendidikan Tertinggi -Tidak pernah sekolah/Belum tamat SD (Rp),Rata-rata Pendapatan Bersih Sebulan Pekerja Informal berdasarkan Pendidikan Tertinggi - Sekolah Dasar (Rp),Rata-rata Pendapatan Bersih Sebulan Pekerja Informal berdasarkan Pendidikan Tertinggi - Sekolah Menengah Pertama (Rp),Rata-rata Pendapatan Bersih Sebulan Pekerja Informal berdasarkan Pendidikan Tertinggi - SMA ke atas (Rp),Rata-rata Pendapatan Bersih Sebulan Pekerja Informal berdasarkan Pendidikan Tertinggi - Jumlah (Rp)
Aceh,1130103,1367134,1517140,1764067,1538258
Sumatera Utara,1240053,1322003,1408510,1788676,1527603
Sumatera Barat,1155382,1403240,1493114,1749746,1495499
Riau,1350067,1607465,1842023,2165868,1805628
Jambi,1252113,1416946,1654740,1977311,1611885
Sumatera Selatan,1085960,1271085,1371053,1638104,1372002
Bengkulu,961453,1293158,1435551,1775543,1420047
Lampung,1008326,1274011,1399717,1633701,1373394
Kepulauan Bangka Belitung,1368082,1729311,1771777,1904162,1700653
Kepulauan Riau,1470491,1930196,2135408,2919649,2367673
DKI Jakarta,2128158,2586947,2444693,3074032,2781087
Jawa Barat,1214319,1438962,1753650,2243263,1671052
Jawa Tengah,961113,1328587,1455748,1626974,1358295
DI Yogyakarta,811385,1064884,1264486,1512542,1287061
Jawa Timur,1019660,1385020,1524789,1830930,1450984
Banten,1393770,1733653,1982991,3057018,2123109
Bali,1018632,1432699,1562288,1843577,1527557
Nusa Tenggara Barat,957592,1260886,1284440,1404425,1221158
Nusa Tenggara Timur,868413,923908,968461,1232191,992344
Kalimantan Barat,1159975,1595381,1705403,1871471,1566981
Kalimantan Tengah,1288337,1695963,1964531,2375714,1861911
Kalimantan Selatan,1039640,1500614,1603784,1860705,1517773
Kalimantan Timur,1723133,1954794,2245816,2524467,2195522
Kalimantan Utara,1630906,2030780,2144875,2207546,2037136
Sulawesi Utara,1405403,1662440,1895526,2118642,1853310
Sulawesi Tengah,986243,1290308,1483173,1700191,1405454
Sulawesi Selatan,1211460,1633635,1686795,2018290,1677594
Sulawesi Tenggara,1015389,1387827,1612316,1755842,1502693
Gorontalo,1192108,1372590,1422969,1624855,1389090
Sulawesi Barat,1039181,1296836,1243808,1217025,1207245
Maluku,1125809,1263946,1484169,1655529,1474822
Maluku Utara,1071282,1319314,1578130,2163833,1636012
Papua Barat,1617165,2022285,2118100,2983411,2376992
Papua,1675507,2003498,2432503,2665973,2182504
Indonesia,1127249,1441069,1628033,2018835,1596574
,,,,,
Catatan,,,,,
"1 Pekerja Informal/ Informal Employee : Pekerja yang berstatus berusaha sendiri dan pekerja bebas di sektor pertanian dan nonpertanian/ Employment status are self employed, casual agricultural worker, and casual non-agricultural worker ",,,,,
