Provinsi,Rata-rata Pendapatan Bersih Sebulan Pekerja Informal berdasarkan Pendidikan Tertinggi -Tidak pernah sekolah/Belum tamat SD (Rp),Rata-rata Pendapatan Bersih Sebulan Pekerja Informal berdasarkan Pendidikan Tertinggi - Sekolah Dasar (Rp),Rata-rata Pendapatan Bersih Sebulan Pekerja Informal berdasarkan Pendidikan Tertinggi - Sekolah Menengah Pertama (Rp),Rata-rata Pendapatan Bersih Sebulan Pekerja Informal berdasarkan Pendidikan Tertinggi - SMA ke atas (Rp),Rata-rata Pendapatan Bersih Sebulan Pekerja Informal berdasarkan Pendidikan Tertinggi - Jumlah (Rp)
Aceh,1320536,1655634,1737167,2011782,1789874
Sumatera Utara,1297044,1597140,1770478,2110214,1838402
Sumatera Barat,1376290,1649203,1712769,2065049,1768252
Riau,1714336,2126443,2238096,2441246,2212495
Jambi,1470568,1967339,2016223,2734795,2158741
Sumatera Selatan,1475252,1751357,1809170,2277575,1880783
Bengkulu,1338166,1617462,1823096,1957745,1736870
Lampung,1154495,1501852,1692116,1882336,1612586
Kepulauan Bangka Belitung,2008557,2411603,2440355,2656508,2394943
Kepulauan Riau,2339763,2338787,2530998,3446069,2878351
DKI Jakarta,2576356,2745047,3244314,3966455,3563971
Jawa Barat,1583994,1754863,2068976,2773478,2068991
Jawa Tengah,1145356,1507487,1686229,1963958,1593418
DI Yogyakarta,924175,1229014,1379960,1728686,1452465
Jawa Timur,1143074,1525338,1734577,2091145,1647962
Banten,1681953,1956104,2416095,3722287,2545184
Bali,1259015,1816262,2172711,2946196,2167146
Nusa Tenggara Barat,1177559,1514946,1390332,1939057,1522644
Nusa Tenggara Timur,955125,972414,1199432,1457732,1137740
Kalimantan Barat,1436952,1863084,1973868,2355208,1901788
Kalimantan Tengah,1916060,2371680,2439956,3041720,2513816
Kalimantan Selatan,1361188,1724163,1960975,2251951,1831434
Kalimantan Timur,1984370,2545181,2848759,3406145,2840815
Kalimantan Utara,1887971,2207455,2306963,2383786,2212739
Sulawesi Utara,1653518,1908790,2043308,2378167,2081969
Sulawesi Tengah,1244942,1591962,1666303,1979502,1686482
Sulawesi Selatan,1454083,1986200,2071162,2301673,2004085
Sulawesi Tenggara,1251866,1640871,1756110,2102466,1763767
Gorontalo,1357134,1538111,1701325,1659622,1518290
Sulawesi Barat,1093182,1553373,1919707,1768935,1563401
Maluku,1360963,1355787,1592022,1873381,1630824
Maluku Utara,1396273,1679225,1854901,2203494,1865569
Papua Barat,2083068,2319144,2555131,2913711,2556521
Papua Barat Daya,...,...,...,...,...
Papua,1733240,1988010,2572644,3361492,2372097
Papua Selatan,...,...,...,...,...
Papua Tengah,...,...,...,...,...
Papua Pegunungan,...,...,...,...,...
Indonesia,1357545,1689278,1914953,2428624,1909700
,,,,,
Catatan,,,,,
"1 Pekerja Informal/ <i>Informal Employee</i> : Pekerja yang berstatus berusaha sendiri dan pekerja bebas di sektor pertanian dan nonpertanian/<i> Employment status are self employed, casual agricultural worker, and casual non-agricultural worker </i>",,,,,
